"","Symbol","HET_ZN_E138_17_S23_rev.normalised","HET_ZN_E141_15_S21_rev.normalised","HET_ZN_E142_19_S25_rev.normalised","HET_ZN_E181_23_S29_rev.normalised","HET_ZN_E54_3_S9_rev.normalised","HET_ZN_E55_7_S13_rev.normalised","HET_ZN_E79_11_S17_rev.normalised","WT_ZN_E158_21_S27_rev.normalised","WT_ZN_E56_1_S7_rev.normalised","WT_ZN_E81_5_S11_rev.normalised","WT_ZN_E82_9_S15_rev.normalised","WT_ZN_E83_13_S19_rev.normalised","gene_symbol"
"7439","E2f3",483.6,555.5,574.6,511.3,542.6,482.7,577.8,557.1,401.3,516.6,520.2,491.2,"E2F3"
"7440","E2f4",1028.8,914.1,1192.6,1268.4,1113.1,1210.9,899.5,1129.2,1031.1,1139.1,1067.3,1042.4,"E2F4"
"7441","E2f5",185.8,180.4,176.2,171.2,172.4,186.1,171.4,196,205.2,176.9,182.8,163.4,"E2F5"
"7442","E2f6",476,441.7,561.7,495,483.1,462.5,411,515.3,493.7,433.7,439.8,469,"E2F6"
"7443","E2f7",4.7,7.7,0,9.7,0,12.8,12,10.9,11.2,8,1.2,2.9,"E2F7"
"7444","E2f8",7.6,6.6,15.7,8.1,10.9,14.9,9.2,14.9,7.1,15,7.3,10.6,"E2F8"
"7445","E330009J07Rik",1342.6,1323,1228.5,1155.6,1138.6,964.3,1078.3,1018.8,1183.5,1037.2,1064.8,1363.4,"E330009J07RIK"
"7446","E330010L02Rik",0,0,0,0,0,0,0,0,0,0,0,0,"E330010L02RIK"
"7447","E330011M16Rik",1.9,1.1,0,3.2,0,0,0.9,0,0,0,1.2,0,"E330011M16RIK"
"7448","E330011O21Rik",18,17.5,20.3,21.9,19.4,29.8,14.7,12.9,10.2,24,15.8,15.5,"E330011O21RIK"
"7449","E330012B07Rik",0,1.1,0,0,1.2,0,0,0,0,0,0,0,"E330012B07RIK"
"7450","E330013P04Rik",54,35,55.3,46.3,51,62.7,69.1,81.6,49.8,56,53.6,59,"E330013P04RIK"
"7451","E330014E10Rik",0,0,0,0,0,0,0,0,0,0,0,0,"E330014E10RIK"
"7452","E330016L19Rik",0,0,0,0,0,0,0,0,0,0,0,0,"E330016L19RIK"
"7453","E330017A01Rik",0,0,0,0,0,0,0,0,0,0,0,0,"E330017A01RIK"
"7454","E330017L17Rik",2.8,0,0,3.2,0,0,3.7,0,1,0,7.3,0,"E330017L17RIK"
"7455","E330018M18Rik",0,0,0,0,0,0,0,0,0,0,0,0,"E330018M18RIK"
"7456","E330020D12Rik",2.8,2.2,3.7,7.3,6.1,4.3,2.8,4,10.2,1,4.9,5.8,"E330020D12RIK"
"7457","E330021D16Rik",0,0,0,0,0,0,0,2,0,0,0,0,"E330021D16RIK"
"7458","E330023G01Rik",0,0,0,0,0,0,0,0,0,0,0,0,"E330023G01RIK"
"7459","E330034G19Rik",0,0,0,0.8,0,0,0,0,0,3,0,0,"E330034G19RIK"
"7460","E330034L11Rik",235.1,276.6,397.5,254.8,236.7,244.5,248.8,357.2,301.7,216.8,263.2,192.4,"E330034L11RIK"
"7461","E330037G11Rik",1.9,2.2,10.1,3.2,7.3,3.2,9.2,2,2,5,2.4,4.8,"E330037G11RIK"
"7462","E330040D14Rik",0,0,0,0,0,0,0.9,0,0,2,0,0,"E330040D14RIK"
"7463","E430014B02Rik",8.5,3.3,12.9,1.6,0,2.1,2.8,6,5.1,2,3.7,2.9,"E430014B02RIK"
"7464","E430018J23Rik",60.7,77.6,64.6,91.7,71.6,103.1,115.2,68.6,90.4,98.9,84.1,88,"E430018J23RIK"
"7465","E430021H15Rik",0,0,0,0,0,0,0,0,1,0,0,0,"E430021H15RIK"
"7466","E430024P14Rik",42.7,77.6,131,69,89.8,89.3,107.8,109.4,45.7,104.9,81.6,79.3,"E430024P14RIK"
"7467","E430025E21Rik",784.1,901,844.9,814.8,852.1,686.8,813.8,793.9,677.6,914.3,671.3,830.6,"E430025E21RIK"
"7468","E4f1",848.6,755.6,680.7,788.8,773.2,870.7,837.7,733.2,810.7,770.4,1007.6,862.5,"E4F1"
"7469","E530001F21Rik",67.3,56.9,70.1,71.4,66.8,95.7,82,92.5,98.5,58,102.3,79.3,"E530001F21RIK"
"7470","E530011L22Rik",226.6,270.1,180.8,281.6,200.3,275.4,189.8,139.3,209.3,189.9,248.5,225.3,"E530011L22RIK"
"7471","Eaf1",400.1,440.6,344,426.1,367.8,373.2,348.4,380,293.6,355.7,374,438,"EAF1"
"7472","Eaf2",17.1,20.8,10.1,9.7,30.3,14.9,13.8,17.9,19.3,26,23.1,12.6,"EAF2"
"7473","Eapp",943.4,902.1,1278.3,1042.8,966.2,936.6,1016.5,1575.9,1097.2,1047.2,913.8,835.4,"EAPP"
"7474","Ear1",0,0,0,0,0,0,0,0,0,0,0,1,"EAR1"
"7475","Ear10",0,0,0,0,0,0,0,0,0,0,0,0,"EAR10"
"7476","Ear14",0,0,0,0,0,1.1,0,0,0,0,0,0,"EAR14"
"7477","Ear2",1.9,2.2,0,0,0,0,0,1,0,0,0,0,"EAR2"
"7478","Ear6",0,0,0,0,0,0,0,0,0,0,0,0,"EAR6"
"7479","Ear-ps10",0,0,0,0,0,0,0,0,0,0,0,0,"EAR-PS10"
"7480","Ear-ps12",0,0,0,0,0,0,0,0,0,0,0,0,"EAR-PS12"
"7481","Ear-ps2",0,0,0,0,0,0,0,0,0,0,0,0,"EAR-PS2"
"7482","Ear-ps3",0,0,0,0,0,0,0,0,0,0,0,0,"EAR-PS3"
"7483","Ear-ps4",0,0,0,0,0,0,0,0,0,0,0,0,"EAR-PS4"
"7484","Ear-ps5",0,0,0,0,0,0,0,0,0,0,0,0,"EAR-PS5"
"7485","Ear-ps7",0,0,0,0,0,0,0,0,0,0,0,0,"EAR-PS7"
"7486","Ear-ps8",0,0,0,0,0,0,0,0,0,0,0,0,"EAR-PS8"
"7487","Ear-ps9",0,0,0,0,0,0,0,0,0,0,0,0,"EAR-PS9"
"7488","Ears2",105.2,159.6,116.2,156.6,117.7,114.8,141.9,121.4,108.7,142.9,149.9,147,"EARS2"
"7489","Ebag9",440.9,371.8,537.7,379.8,456.4,351.9,459,562.1,386,389.7,370.4,367.4,"EBAG9"
"7490","Ebf1",85.3,106.1,116.2,138.8,71.6,72.3,74.6,129.3,102.6,56,64.6,92.8,"EBF1"
"7491","Ebf2",3.8,27.3,12,11.4,1.2,25.5,21.2,10.9,72.1,41,8.5,51.2,"EBF2"
"7492","Ebf3",36,155.3,59,94.1,44.9,165.9,95.8,55.7,174.7,200.8,79.2,193.4,"EBF3"
"7493","Ebf4",435.2,418.8,550.6,610.3,553.5,730.4,449.7,445.7,616.6,586.5,582.4,466.1,"EBF4"
"7494","Ebi3",25.6,31.7,19.4,28.4,19.4,43.6,37.8,12.9,18.3,11,19.5,15.5,"EBI3"
"7495","Ebna1bp2",1028.8,898.8,1057,956.8,907.9,954.7,951.1,1042.6,1010.8,1034.2,1061.2,938.9,"EBNA1BP2"
"7496","Ebp",344.2,323.7,278.5,309.2,295,309.4,276.5,258.7,348.5,333.7,327.7,274.6,"EBP"
"7497","Ebpl",116.6,157.5,114.4,156.6,176,173.3,178.8,80.6,217.4,156.9,171.8,173.1,"EBPL"
"7498","Ecd",716.8,754.5,627.2,676.8,711.3,782.5,667.2,586,688.8,863.3,705.4,755.2,"ECD"
"7499","Ece1",1066.7,902.1,939.9,1215.7,1022,1078,957.5,956.1,1022,933.3,884.5,913.8,"ECE1"
"7500","Ece2",789.8,978.6,828.2,946.3,961.4,1033.4,1054.3,765.1,757.9,837.3,1006.4,932.1,"ECE2"
"7501","Ecel1",44.6,242.7,95.9,297.8,54.6,67,417.5,54.7,116.8,176.9,53.6,112.2,"ECEL1"
"7502","Ech1",774.7,808,443.6,723.1,741.7,788.9,730.8,408.9,643.1,733.4,849.2,753.2,"ECH1"
"7503","Echdc1",494,546.7,521.1,456.1,479.5,445.5,468.2,555.1,480.5,469.6,530,518.3,"ECHDC1"
"7504","Echdc2",460.8,299.6,319.1,286.5,407.8,700.6,601.8,303.4,496.8,574.6,704.2,501.8,"ECHDC2"
"7505","Echdc3",23.7,24.1,9.2,27.6,8.5,22.3,24,14.9,16.3,18,26.8,25.1,"ECHDC3"
"7506","Echs1",596.4,525.9,426.1,477.2,577.8,508.2,551.1,412.9,521.2,523.6,577.5,615.9,"ECHS1"
"7507","Eci1",202,232.9,124.5,167.2,168.7,236,222.1,150.2,196.1,220.8,251,232.1,"ECI1"
"7508","Eci2",534.8,474.5,500.8,579.4,526.8,494.4,510.6,386,494.7,540.6,477.6,453.5,"ECI2"
"7509","Eci3",9.5,8.7,1.8,7.3,0,8.5,0,4,3,0,3.7,8.7,"ECI3"
"7510","Ecm1",257,295.2,262.9,463.4,194.2,219,151.1,242.8,198.1,182.9,223,218.5,"ECM1"
"7511","Ecm2",196.3,252.6,222.3,224,177.2,193.5,176.9,235.8,170.7,105.9,168.1,323,"ECM2"
"7512","Ecscr",82.5,90.8,47,97.4,83.8,89.3,71,72.6,111.7,63,57.3,69.6,"ECSCR"
"7513","Ecsit",735.8,841.9,660.4,918.7,918.9,1006.8,901.3,619.8,964.1,908.3,964.9,830.6,"ECSIT"
"7514","Ect2",10.4,7.7,14.8,17,3.6,9.6,12.9,9,5.1,14,2.4,9.7,"ECT2"
"7515","Ect2l",8.5,17.5,7.4,6.5,7.3,19.1,24.9,23.9,11.2,6,28,10.6,"ECT2L"
"7516","Eda",121.4,113.7,120.8,146.9,197.9,152,181.6,107.4,109.7,170.9,106,135.4,"EDA"
"7517","Eda2r",17.1,9.8,13.8,12.2,9.7,15.9,13.8,26.9,5.1,5,13.4,19.3,"EDA2R"
"7518","Edar",3.8,12,3.7,8.9,2.4,6.4,10.1,2,4.1,0,4.9,11.6,"EDAR"
"7519","Edaradd",12.3,15.3,23.1,10.6,18.2,20.2,10.1,18.9,17.3,17,19.5,17.4,"EDARADD"
"7520","Edc3",523.4,503,443.6,472.3,495.2,437,498.6,359.2,563.8,582.5,542.2,463.2,"EDC3"
"7521","Edc4",2014.9,1869.7,1530.1,1849.5,2053.8,2334.7,2087.4,1461.5,2042,2121.4,2173.5,1981.3,"EDC4"
"7522","Eddm3b",0,0,0,0,0,0,0,0,0,0,0,0,"EDDM3B"
"7523","Edem1",387.8,353.2,462.1,366.8,316.8,288.1,287.5,432.8,302.7,283.8,294.8,323,"EDEM1"
"7524","Edem2",574.6,587.2,493.4,607.8,560.8,745.3,597.2,462.6,647.1,659.5,701.8,572.4,"EDEM2"
"7525","Edem3",949.1,1009.2,1197.2,917,1009.9,653.8,874.6,1166,746.7,810.4,839.4,1027.9,"EDEM3"
"7526","Edf1",2260.5,2007.5,1413,2128.7,2093.9,2425,2231.2,1471.4,2746,2695.9,2617,2144.7,"EDF1"
"7527","Edil3",2079.4,1858.8,2849.1,1740.8,2027.1,1502.2,1805.4,2905,1589.9,1589.8,1291.4,1754,"EDIL3"
"7528","Edn1",30.3,32.8,50.7,53.6,52.2,24.5,46.1,44.8,34.5,9,26.8,28,"EDN1"
"7529","Edn2",0,0,0,0,0,0,0,0,0,0,0,0,"EDN2"
"7530","Edn3",161.2,102.8,84.9,117.7,74,73.4,65.4,149.2,128,49,58.5,124.7,"EDN3"
"7531","Ednra",102.4,91.8,142,121.7,119,95.7,94.9,136.3,64,116.9,59.7,104.4,"EDNRA"
"7532","Ednrb",574.6,684.5,881.7,670.3,659.1,542.2,568.6,845.6,630.9,584.5,499.5,722.3,"EDNRB"
"7533","Edrf1",472.2,496.4,487.9,363.6,461.3,399.7,403.7,469.6,408.4,503.6,545.8,494.1,"EDRF1"
"7534","Eea1",862.8,986.3,1105.9,781.5,954.1,619.8,840.5,1104.3,778.2,680.5,830.9,1037.5,"EEA1"
"7535","Eed",263.6,270.1,368,267,241.6,262.6,247.9,293.5,208.3,285.8,254.6,303.6,"EED"
"7536","Eef1a1",34415.2,36260,31275.2,35120.2,36298.5,38144.6,39348.5,30257.2,37221.4,42263.1,37189.9,36211.1,"EEF1A1"
"7537","Eef1a2",16658.6,15022.5,15947,18511.2,17269.2,17250.6,16062.5,15200.7,17151.4,21992.9,15901.8,14883.2,"EEF1A2"
"7538","Eef1akmt1",242.7,234,154,181.8,167.5,208.4,279.2,151.2,251.9,222.8,238.8,204,"EEF1AKMT1"
"7539","Eef1b2",1399.5,1401.8,1358.6,1169.4,1300,1488.4,1608.2,1318.2,1847.9,1472.9,1676.4,1421.4,"EEF1B2"
"7540","Eef1d",1756,1543.9,1420.4,1763.5,1547.6,2012.5,1656.1,1291.4,2003.3,1891.5,1799.5,1803.3,"EEF1D"
"7541","Eef1e1",238.9,229.6,191.8,202.9,228.2,220.1,262.7,239.8,235.7,231.8,311.9,257.2,"EEF1E1"
"7542","Eef1g",2837,2802.4,2411.9,2749.5,2697.1,2982.1,3264.3,2648.4,3391.1,3371.4,3359,2692,"EEF1G"
"7543","Eef2",22274.7,20626.3,17467,21883.1,21097.6,22311.2,20831.8,16914.9,21330.8,25373.3,20688.7,21297.9,"EEF2"
"7544","Eef2k",884.7,904.3,906.6,837.5,932.2,943,870.9,787.9,903.1,906.3,770,846.1,"EEF2K"
"7545","Eef2kmt",85.3,84.2,58.1,82,85,101,97.7,39.8,74.2,66.9,81.6,94.8,"EEF2KMT"
"7546","Eefsec",438.1,424.2,400.3,461,471,535.8,478.3,325.3,476.5,582.5,508,418.7,"EEFSEC"
"7547","Eepd1",432.4,331.3,299.8,334.4,387.2,357.2,308.7,337.3,355.6,378.7,371.6,340.4,"EEPD1"
"7548","Efcab1",192.5,308.3,226.9,246.7,247.6,210.5,270,240.8,196.1,225.8,319.2,294,"EFCAB1"
"7549","Efcab10",41.7,54.7,24.9,30,21.8,34,45.2,47.8,42.7,27,42.6,27.1,"EFCAB10"
"7550","Efcab11",9.5,7.7,0,4.1,2.4,8.5,5.5,0,3,1,9.7,9.7,"EFCAB11"
"7551","Efcab12",247.5,297.4,170.6,258.1,210,288.1,222.1,222.9,269.2,176.9,252.2,238.8,"EFCAB12"
"7552","Efcab14",921.6,951.3,1128.9,1030.7,850.9,809.1,842.3,1129.2,802.6,864.3,726.1,963.1,"EFCAB14"
"7553","Efcab2",315.7,310.5,413.2,335.2,279.2,262.6,295.8,444.7,350.5,313.8,266.8,344.2,"EFCAB2"
"7554","Efcab3",0,0,0,0,0,0,0,1,0,0,0,0,"EFCAB3"
"7555","Efcab5",83.4,86.4,96.8,68.2,78.9,70.2,84.8,105.5,81.3,93.9,69.4,85.1,"EFCAB5"
"7556","Efcab6",208.6,153.1,176.2,216.7,197.9,217.9,179.7,135.3,223.5,175.9,186.4,162.4,"EFCAB6"
"7557","Efcab7",19.9,36.1,55.3,31.7,24.3,58.5,71.9,27.9,42.7,25,42.6,31.9,"EFCAB7"
"7558","Efcab8",0.9,0,0,0,6.1,0,0.9,3,0,2,2.4,2.9,"EFCAB8"
"7559","Efcab9",7.6,5.5,7.4,4.1,10.9,4.3,12.9,12.9,6.1,4,8.5,10.6,"EFCAB9"
"7560","Efcc1",171.6,202.3,181.7,177.7,172.4,157.3,188,177.1,153.4,138.9,145,206.9,"EFCC1"
"7561","Efemp1",544.3,520.5,630.9,666.3,274.3,299.8,274.6,523.3,306.8,253.8,218.1,395.5,"EFEMP1"
"7562","Efemp2",291.1,342.2,200.1,373.3,241.6,278.5,199.1,164.2,261.1,203.8,313.1,326.8,"EFEMP2"
"7563","Efhb",19,24.1,17.5,32.5,7.3,12.8,27.6,4,16.3,6,23.1,18.4,"EFHB"
"7564","Efhc1",27.5,97.3,24.9,63.3,34,43.6,38.7,35.8,61,20,45.1,65.8,"EFHC1"
"7565","Efhc2",32.2,32.8,28.6,34.1,40.1,26.6,30.4,43.8,32.5,34,40.2,26.1,"EFHC2"
"7566","Efhd1",595.5,492,595.8,655.7,557.1,713.4,556.6,780,563.8,570.6,558,586,"EFHD1"
"7567","Efhd1os",0,0,0,0,0,0,0,0,0,0,0,0,"EFHD1OS"
"7568","Efhd2",4073.4,2799.2,3539.9,3944.9,3250.6,3291.5,2509.5,3689,3358.6,3460.3,2819.2,2792.5,"EFHD2"
"7569","Efl1",239.9,282.1,273.9,259.7,267,239.2,292.1,184.1,222.5,251.8,257.1,232.1,"EFL1"
"7570","Efna1",104.3,95.1,132.8,109.6,116.5,124.4,94,102.5,101.6,106.9,109.7,85.1,"EFNA1"
"7571","Efna2",172.6,177.1,201.1,221.6,228.2,232.8,190.8,219.9,155.4,226.8,221.7,182.8,"EFNA2"
"7572","Efna3",1703.9,1744,1892.6,2321,2055,2189,1800.8,1761.9,1862.1,2303.2,2020,1811.1,"EFNA3"
"7573","Efna4",10.4,18.6,5.5,11.4,7.3,17,9.2,3,12.2,15,21.9,5.8,"EFNA4"
"7574","Efna5",135.6,164,217.7,165.6,109.2,70.2,140.1,227.8,107.7,119.9,79.2,121.8,"EFNA5"
"7575","Efnb1",307.2,359.7,399.4,441.5,370.2,384.9,345.6,377.1,310.9,373.7,397.2,370.3,"EFNB1"
"7576","Efnb2",716.8,775.2,1002.6,842.4,735.6,548.6,611,887.4,473.4,837.3,715.2,718.4,"EFNB2"
"7577","Efnb3",2969.7,3654.2,3604.5,3272.1,3450.9,4210.1,4115.9,3465.2,3074.1,4336.6,3714.7,3877.4,"EFNB3"
"7578","Efr3a",3056,2652.6,3802.8,3049.8,3129.3,2188,2427.5,3849.2,3351.4,2507.1,2440.3,2472.5,"EFR3A"
"7579","Efr3b",4648.9,4522.4,4423.5,4618.5,5122.4,3983.6,3976.7,3848.2,3612.5,4097.8,3847.5,4397.7,"EFR3B"
"7580","Efs",481.7,623.2,336.6,711.7,461.3,640,294.9,277.6,446,370.7,622.6,724.2,"EFS"
"7581","Eftud2",1969.4,2038.1,1708.1,1747.2,2096.3,2110.3,2047.8,1629.6,1894.6,2239.3,2012.7,2078.9,"EFTUD2"
"7582","Egf",27.5,31.7,38.7,30,34,27.6,61.7,40.8,33.5,42,30.5,26.1,"EGF"
"7583","Egfem1",192.5,131.2,115.3,94.1,144.4,165.9,141.9,138.3,183.9,168.9,190.1,134.4,"EGFEM1"
"7584","Egfl6",64.5,58,91.3,77.1,94.7,103.1,82,88.5,86.4,104.9,65.8,85.1,"EGFL6"
"7585","Egfl7",368.8,403.5,249,424.4,354.4,476.3,488.4,234.8,504.9,345.7,420.3,385.8,"EGFL7"
"7586","Egfl8",12.3,33.9,12,8.1,9.7,29.8,14.7,14.9,35.6,18,23.1,28,"EGFL8"
"7587","Egflam",43.6,52.5,51.7,62.5,37.6,53.2,46.1,69.6,52.8,37,34.1,46.4,"EGFLAM"
"7588","Egfr",260.7,299.6,377.2,349.8,315.6,206.3,206.4,358.2,277.3,200.8,236.4,333.6,"EGFR"
"7589","Egfros",0,0,0,0,0,0,0,0,0,0,0,0,"EGFROS"
"7590","Egln1",1209.9,1167.8,1221.2,1242.5,1211.4,1101.4,1227.6,1356,1337.9,1354.9,1352.4,1268.6,"EGLN1"
"7591","Egln2",1665,1585.5,1221.2,1743.2,1722.4,2045.5,1682.8,1135.2,1888.6,1971.5,1974.9,1917.4,"EGLN2"
"7592","Egln3",93.9,70,113.4,112,69.2,95.7,94,127.3,64,97.9,69.4,86.1,"EGLN3"
"7593","Egr1",4871.8,2866.9,3679.2,4624.1,4138,5274.3,2958.3,5730.5,7289.1,6260.1,3915.8,3948,"EGR1"
"7594","Egr2",100.5,58,51.7,73.9,85,127.6,47.9,98.5,200.1,157.9,108.4,92.8,"EGR2"
"7595","Egr3",1168.2,1040.9,1290.3,1225.4,1277,1037.6,1003.6,1145.1,986.4,1593.8,939.3,1224.2,"EGR3"
"7596","Egr4",420,323.7,226,436.6,291.3,750.6,390.8,241.8,731.4,748.4,802.9,529.9,"EGR4"
"7597","Ehbp1",1037.3,1186.4,1360.4,1142.6,1161.6,1003.6,1056.1,1240.6,1028.1,1010.2,946.7,1051.1,"EHBP1"
"7598","Ehbp1l1",384,459.2,380.9,482.9,333.8,384.9,362.2,294.5,481.5,360.7,454.4,394.5,"EHBP1L1"
"7599","Ehd1",1389.1,1503.5,1301.4,1650.7,1803.8,2107.2,1877.3,1167,1559.4,1919.5,2004.2,1633.2,"EHD1"
"7600","Ehd2",263.6,248.2,326.5,420.4,224.6,295.6,230.4,285.5,250.9,167.9,235.1,224.3,"EHD2"
"7601","Ehd3",3588.9,3845.6,3431.1,4421.3,4794.6,4402.5,3931.5,3718.9,3345.3,4511.5,4080.2,4013.8,"EHD3"
"7602","Ehd4",236.1,248.2,221.4,298.6,188.1,211.6,190.8,213.9,258,176.9,153.5,225.3,"EHD4"
"7603","Ehf",11.4,4.4,0,16.2,8.5,14.9,0.9,1,3,0,4.9,13.5,"EHF"
"7604","Ehhadh",50.3,71.1,38.7,47.9,68,59.5,58.1,37.8,58.9,48,51.2,60.9,"EHHADH"
"7605","Ehmt1",859.1,806.9,747.1,798.6,813.3,778.2,820.2,727.3,726.4,883.3,829.7,887.7,"EHMT1"
"7606","Ehmt2",4254.5,4190,3493.8,4537.3,4456,5325.3,4852.2,3082.1,5020.6,5125,5024.4,4495.3,"EHMT2"
"7607","Ei24",1855.6,1688.2,2011.6,1782.1,1947,2003,1839.5,2234.5,2112,1881.5,1831.2,1753.1,"EI24"
"7608","Eid1",4314.2,3959.3,6882.4,4688.3,4852.9,4947.9,4972.9,7344.2,5844.5,5109,4797.8,4222.6,"EID1"
"7609","Eid2",413.4,422.1,451.9,390.4,410.3,507.1,466.3,474.6,596.3,484.6,492.2,367.4,"EID2"
"7610","Eid2b",305.3,346.6,255.5,325.4,364.1,305.1,301.4,311.4,208.3,301.8,293.6,299.8,"EID2B"
"7611","Eid3",0,0,0,0,0,3.2,1.8,3,0,0,0,1,"EID3"
"7612","Eif1",3073.1,3040.8,1883.4,2475.2,2404.6,3286.2,2897.5,2032.5,3475.4,3308.4,3609.9,2980.1,"EIF1"
"7613","Eif1a",648.6,615.6,671.5,587.6,568.1,586.9,708.7,654.6,666.4,576.6,598.2,633.3,"EIF1A"
"7614","Eif1ad",350.8,372.9,251.8,276.7,319.2,390.2,323.5,236.8,360.6,377.7,394.7,322,"EIF1AD"
"7615","Eif1ax",2237.7,2033.8,2944.1,1763.5,2155.8,1633,2158.4,3317.9,2304.1,1979.5,1956.7,1939.7,"EIF1AX"
"7616","Eif1b",1958,1624.8,1685.1,1716.4,1711.5,1896.7,1755.6,1489.3,2166.9,1953.5,2062.7,1721.2,"EIF1B"
"7617","Eif1-ps1",0.9,1.1,0.9,0,0,1.1,0,1,0,2,0,0,"EIF1-PS1"
"7618","Eif1-ps3",0,0,0,0,0,0,0,0,0,0,0,0,"EIF1-PS3"
"7619","Eif2a",884.7,849.6,997,830.2,897,801.6,957.5,1004.8,1067.7,964.3,869.9,835.4,"EIF2A"
"7620","Eif2ak1",2027.2,1888.3,2967.1,2441.1,2453.2,2161.4,2133.5,3190.6,2163.9,2269.2,2013.9,2024.8,"EIF2AK1"
"7621","Eif2ak2",130.8,167.3,160.5,142.8,112.9,93.6,104.1,108.4,122.9,101.9,91.4,118,"EIF2AK2"
"7622","Eif2ak3",510.1,504.1,428.9,547,508.6,405.1,476.5,432.8,405.3,476.6,445.9,522.1,"EIF2AK3"
"7623","Eif2ak4",689.3,698.7,605,706,793.8,665.5,703.2,628.8,580.1,713.4,629.9,715.5,"EIF2AK4"
"7624","Eif2b1",286.4,363,281.3,326.2,336.2,324.3,366.8,260.7,329.2,373.7,378.9,317.2,"EIF2B1"
"7625","Eif2b2",567,567.5,639.2,685.8,592.4,750.6,599,607.9,569.9,673.5,632.3,584,"EIF2B2"
"7626","Eif2b3",244.6,225.2,226.9,241.8,250,303,283.9,254.7,327.1,262.8,298.5,271.7,"EIF2B3"
"7627","Eif2b4",634.3,624.3,511,588.4,596,585.8,612.9,478.5,617.7,665.5,558,571.5,"EIF2B4"
"7628","Eif2b5",934.9,930.5,731.4,792.1,824.2,947.3,929,873.5,1050.4,1057.2,968.6,856.7,"EIF2B5"
"7629","Eif2c5",0,0,0,0,0,0,0,0,0,0,0,0,"EIF2C5"
"7630","Eif2d",792.7,724.9,671.5,678.4,826.6,818.6,752,677.5,817.8,833.4,852.8,788.1,"EIF2D"
"7631","Eif2s1",631.5,733.7,707.4,663,696.7,568.8,715.2,734.2,647.1,673.5,681.1,630.4,"EIF2S1"
"7632","Eif2s2",997.5,1015.8,1378,956.8,963.8,905.8,1029.4,1407.8,1098.2,976.2,915,896.4,"EIF2S2"
"7633","Eif2s3x",366.9,405.7,370.8,341.7,377.5,316.8,376,416.9,307.8,403.7,276.6,367.4,"EIF2S3X"
"7634","Eif2s3y",1141.6,939.2,1089.3,759.6,901.9,810.1,1239.5,1305.3,942.8,836.3,1318.2,1025,"EIF2S3Y"
"7635","Eif3a",3755.7,4019.4,5588.4,4074.7,4074.8,3574.3,3915.9,5127.6,3599.3,3545.2,3512.5,3967.4,"EIF3A"
"7636","Eif3b",2166.6,2065.5,1592.9,2120.6,2016.2,2260.2,2283.7,1516.2,2457.5,2311.2,2339.2,2110.8,"EIF3B"
"7637","Eif3c",3429.6,3504.4,3195.9,3308.6,3310.1,3325.5,3469.8,3063.2,3095.4,3792.1,3270,3251.8,"EIF3C"
"7638","Eif3d",1343.6,1343.8,1135.4,1437.2,1317,1397,1337.2,1137.1,1505.6,1606.8,1314.6,1376,"EIF3D"
"7639","Eif3e",1051.5,1036.6,1195.3,718.2,1028.1,954.7,1179.6,1211.8,1228.2,986.2,1180.6,1029.8,"EIF3E"
"7640","Eif3f",1739.9,1642.3,1346.6,1755.4,1518.5,2059.3,1707.7,1311.2,2437.1,2178.3,2011.5,1444.6,"EIF3F"
"7641","Eif3g",1227.9,1237.8,988.7,1155.6,1094.9,1347,1243.2,1048.6,1448.7,1383.9,1293.9,1206.7,"EIF3G"
"7642","Eif3h",2198.8,1995.5,2333.5,2510.1,2328.1,2597.3,2372.2,2453.4,2927.8,2663.9,2349,2183.4,"EIF3H"
"7643","Eif3i",1040.2,1058.4,705.6,1042,1033,1231.1,1093.9,677.5,1076.9,1178.1,1342.6,1060.7,"EIF3I"
"7644","Eif3j1",513.9,454.9,576.5,430.9,441.8,409.3,417.5,691.4,569.9,456.6,508,504.7,"EIF3J1"
"7645","Eif3j2",6.6,6.6,1.8,2.4,10.9,3.2,1.8,7,11.2,7,2.4,3.9,"EIF3J2"
"7646","Eif3k",1608.1,1542.8,1796.7,1928.2,1755.2,1854.1,1716,1868.4,1878.4,1973.5,1904.3,1591.6,"EIF3K"
"7647","Eif3l",1396.7,1367.9,1358.6,1607.7,1455.4,1517.1,1328,1304.3,1526.9,1643.7,1379.2,1430.1,"EIF3L"
"7648","Eif3m",593.6,730.4,540.5,554.3,617.8,636.8,693,641.7,714.2,657.5,695.7,596.6,"EIF3M"
"7649","Eif3s6-ps1",0,3.3,0.9,0,0,1.1,2.8,0,0,0,2.4,2.9,"EIF3S6-PS1"
"7650","Eif3s6-ps2",0,0,0.9,0,0,0,0,0,0,0,1.2,0,"EIF3S6-PS2"
"7651","Eif3s6-ps4",0,0,0.9,0.8,0,0,0,0,0,0,0,0,"EIF3S6-PS4"
"7652","Eif4a1",3356.6,3494.6,2804.8,2974.3,2966.6,3577.5,3534.3,2870.2,4341.9,3551.2,3663.6,3331.1,"EIF4A1"
"7653","Eif4a2",7818.7,7547.9,9135.6,6654.6,8034.4,7177.3,8956.1,9321,8050,7902.9,8110.5,7485.1,"EIF4A2"
"7654","Eif4a3",876.1,813.5,652.1,921.1,884.9,905.8,927.1,655.6,933.6,1049.2,1022.2,730,"EIF4A3"
"7655","Eif4a-ps4",22.8,20.8,17.5,27.6,26.7,24.5,34.1,17.9,35.6,28,34.1,36.7,"EIF4A-PS4"
