"","Symbol","HET_ZN_E138_17_S23_rev.normalised","HET_ZN_E141_15_S21_rev.normalised","HET_ZN_E142_19_S25_rev.normalised","HET_ZN_E181_23_S29_rev.normalised","HET_ZN_E54_3_S9_rev.normalised","HET_ZN_E55_7_S13_rev.normalised","HET_ZN_E79_11_S17_rev.normalised","WT_ZN_E158_21_S27_rev.normalised","WT_ZN_E56_1_S7_rev.normalised","WT_ZN_E81_5_S11_rev.normalised","WT_ZN_E82_9_S15_rev.normalised","WT_ZN_E83_13_S19_rev.normalised","gene_symbol"
"43414","Rslcan18",3.8,5.5,6.5,2.4,0,7.4,0.9,6,1,7,4.9,7.7,"RSLCAN18"
"43415","Rsph1",202.9,333.5,178.9,385.5,149.3,343.4,228.6,194,267.2,159.9,293.6,328.8,"RSPH1"
"43416","Rsph10b",193.4,241.6,294.2,239.4,157.8,217.9,196.3,304.4,248.9,166.9,210.8,190.5,"RSPH10B"
"43417","Rsph14",7.6,9.8,6.5,8.1,3.6,7.4,21.2,12.9,13.2,8,13.4,5.8,"RSPH14"
"43418","Rsph3a",147,148.7,106.1,162.3,185.7,138.2,140.1,130.3,128,130.9,148.6,138.3,"RSPH3A"
"43419","Rsph3b",104.3,78.7,46.1,91.7,116.5,105.3,139.2,56.7,65,119.9,96.2,117,"RSPH3B"
"43420","Rsph4a",105.2,250.4,184.5,211.8,131.1,128.6,180.6,207.9,81.3,111.9,145,182.8,"RSPH4A"
"43421","Rsph6a",2.8,2.2,5.5,8.1,6.1,2.1,0.9,1,6.1,5,6.1,2.9,"RSPH6A"
"43422","Rsph9",146,190.3,75.6,138.8,162.7,216.9,197.2,77.6,165.6,183.9,283.9,234,"RSPH9"
"43423","Rspo1",110.9,28.4,43.3,37.3,20.6,37.2,28.6,28.9,65,46,19.5,32.9,"RSPO1"
"43424","Rspo2",340.4,333.5,539.6,414.7,398.1,198.8,314.3,528.3,310.9,425.7,288.7,268.8,"RSPO2"
"43425","Rspo3",183,226.3,313.6,274.3,291.3,215.8,270.9,262.6,214.4,321.7,220.5,167.3,"RSPO3"
"43426","Rspo4",0,5.5,0.9,3.2,0,1.1,6.5,0,1,6,0,3.9,"RSPO4"
"43427","Rspo4os",0,2.2,0,0,2.4,0,0.9,0,0,0,0,0,"RSPO4OS"
